product_id,site,title,author,handle,variant_id,condition,source,country,format,used_price,new_price,ref_source,pct_off,quality,isbn13,isbn10,barcode,upc,sku,stock,publisher,list_price_us,rrp,url
9808622387473,wob,"The Message Deluxe Gift Bible, Brown",Eugene H Peterson,message-deluxe-gift-bible-brown-book-eugene-h-peterson-9781631465789,49565235249425,GOOD,SBYB,US,,5.38,24.99,store_new,0.7847,False,9781631465789,1631465783,9781631465789,,CIN1631465783G,12,NavPress Publishing Group,24.99,21.99,https://www.worldofbooks.com/products/message-deluxe-gift-bible-brown-book-eugene-h-peterson-9781631465789?variant=49565235249425
9880186487057,wob,"AP French Language and Culture Premium, Fifth Edition: Prep Book with 3 Practice Tests + Comprehensive Review + Online Audio and Practice",Eliane Kurbegov,ap-french-language-and-culture-premium-fifth-edition-prep-book-with-3-practice-t-book-eliane-kurbegov-9781506287874,50176013336849,GOOD,SBYB,US,,7.88,36.59,store_new,0.7846,False,9781506287874,1506287875,9781506287874,,CIN1506287875G,36,Kaplan Publishing,39.99,30.0,https://www.worldofbooks.com/products/ap-french-language-and-culture-premium-fifth-edition-prep-book-with-3-practice-t-book-eliane-kurbegov-9781506287874?variant=50176013336849
9831586595089,wob,Discipleship Essentials  A Guide to Building Your Life in Christ,Greg Ogden,discipleship-essentials-a-guide-to-building-your-life-in-christ-book-greg-ogden-9780830821280,49787420901649,GOOD,SBYB,US,,5.58,25.89,store_new,0.7845,False,9780830821280,0830821287,9780830821280,,CIN0830821287G,576,InterVarsity Press,26.99,20.99,https://www.worldofbooks.com/products/discipleship-essentials-a-guide-to-building-your-life-in-christ-book-greg-ogden-9780830821280?variant=49787420901649
10380036997393,wob,IT Architectures and Middleware,Chris Britton,it-architectures-and-middleware-book-chris-britton-9780201709070,51415569793297,VERY_GOOD,SBYB,US,,6.68,30.99,list_price,0.7844,False,9780201709070,0201709074,9780201709070,,CIN0201709074VG,1,Pearson Education (US),,30.99,https://www.worldofbooks.com/products/it-architectures-and-middleware-book-chris-britton-9780201709070?variant=51415569793297
9825765359889,wob,One Question a Day for You & Me,Aimee Chase,one-question-a-day-for-you-me-book-aimee-chase-9781250163431,49710953365777,GOOD,SBYB,US,,3.88,17.99,,0.7843,False,9781250163431,,9781250163431,,,,St Martin's Press,17.99,12.99,https://www.worldofbooks.com/products/one-question-a-day-for-you-me-book-aimee-chase-9781250163431?variant=49710953365777
9792766214417,wob,The One Year Love Language Minute Devotional,Gary D Chapman,one-year-love-language-minute-devotional-book-gary-d-chapman-9781414329734,50209267745041,VERY_GOOD,SBYB,US,,3.88,17.99,list_price,0.7843,False,9781414329734,1414329733,9781414329734,,CIN1414329733VG,61,Tyndale House Publishers,17.99,15.99,https://www.worldofbooks.com/products/one-year-love-language-minute-devotional-book-gary-d-chapman-9781414329734?variant=50209267745041
9886905073937,wob,The Girl He Used to Know,Tracey Garvis Graves,girl-he-used-to-know-book-tracey-garvis-graves-9781250298874,49996614992145,VERY_GOOD,SBYB,US,,3.88,17.99,store_new,0.7843,False,9781250298874,1250298873,9781250298874,,CIN1250298873VG,188,St. Martin's Griffin,17.99,,https://www.worldofbooks.com/products/girl-he-used-to-know-book-tracey-garvis-graves-9781250298874?variant=49996614992145
9880540021009,wob,Winning with Data Science,Howard Steven Friedman,winning-with-data-science-book-howard-steven-friedman-9780231206860,51322813939985,GOOD,SBYB,US,,5.78,26.79,,0.7842,False,9780231206860,,9780231206860,,,,Columbia University Press,27.95,22.0,https://www.worldofbooks.com/products/winning-with-data-science-book-howard-steven-friedman-9780231206860?variant=51322813939985
9805915062545,wob,Somebody I Used to Know,David Bell,somebody-i-used-to-know-book-david-bell-9780451474209,50281792078097,VERY_GOOD,SBYB,US,,5.18,24.0,store_new,0.7842,False,9780451474209,0451474201,9780451474209,,CIN0451474201VG,284,Penguin Putnam Inc,24,18.2,https://www.worldofbooks.com/products/somebody-i-used-to-know-book-david-bell-9780451474209?variant=50281792078097
9872064708881,wob,Regression Modeling Strategies,Frank E Harrell Jr,regression-modeling-strategies-book-frank-e-harrell-jr-9783319194240,50095879454993,VERY_GOOD,SBYB,US,,28.07,129.99,store_new,0.7841,False,9783319194240,3319194240,9783319194240,,CIN3319194240VG,2,Springer International Publishing AG,139.99,109.99,https://www.worldofbooks.com/products/regression-modeling-strategies-book-frank-e-harrell-jr-9783319194240?variant=50095879454993
9807542321425,wob,Chemical Principles,Steven Zumdahl,chemical-principles-book-steven-zumdahl-9781305581982,49617683841297,GOOD,SBYB,US,,29.68,137.49,store_new,0.7841,False,9781305581982,1305581989,9781305581982,,CIN1305581989G,5,"Cengage Learning, Inc",389.95,86.99,https://www.worldofbooks.com/products/chemical-principles-book-steven-zumdahl-9781305581982?variant=49617683841297
